key,main_integral,var_integral,pct_diff_integral,main_peak,var_peak,pct_diff_peak,main_latency,var_latency,correlation
"(0, -1)",-823.4232202098096,-494.0871706149756,39.995963377243434,-5.238787750457094,-2.951884997057362,43.653281299670816,18.0,27.0,0.6223872855701768
"(0, 0)",6.120692313965312,1.7497962333800405,-71.41179226755757,0.35614389470024116,0.10563741048776201,-70.33855920043925,2.0,5.0,0.9612101856066264
"(0, 1)",0.5489776375601358,0.6610561426060197,20.41585984157809,0.052709279368787755,0.05302939415478533,0.6073214998024324,5.0,3.0,0.9925081244209293
"(0, 2)",1.4695484684374365,0.3832927260436375,-73.91765332849546,0.05948718282033064,0.022790752049817637,-61.687962062932726,0.0,5.0,0.7767332365845688
"(0, 3)",1.2716627017150406,0.7027531901800037,-44.737453631986796,0.08790772630202671,0.08010458388081107,-8.87651489745759,0.0,1.0,0.972383771126606
"(0, 4)",1.30881666929471,1.1293477061827932,-13.712307256036736,0.061186780627546844,0.06148690969583071,0.490512926494366,0.0,0.0,0.9886481090276907
"(0, 5)",5.007477777841091,1.093859389737124,-78.15548189594308,0.14313565874326098,0.0442419608841227,-69.09088813188163,6.0,0.0,0.770548793962422
"(0, 6)",-514.8054529079046,-148.94117819511663,71.06845365490693,-9.850016490484744,-2.7730505886442343,71.84724927797797,118.0,118.0,0.9923847701750623
"(0, 7)",8.908745289203349,5.509384615187685e-12,-99.99999999993815,1.1409129149166575,-1.1181754298615498,-198.00707970276866,11.0,54.0,0.007976074788050442
"(1, -1)",-845.5778150763566,-545.3455715239885,35.50616373789996,-5.31988465238995,-3.2810242064163413,38.32527543727201,39.0,37.0,0.8051918180920739
"(1, 0)",1.0791005113349903,1.0882240337821645,0.8454747589626452,0.07910023893187396,0.033007896912254156,-58.27079999001949,0.0,10.0,0.36169489632216095
"(1, 1)",11.381055200913782,0.45416918529526296,-96.00942814811408,0.6919215559234841,0.02491639100146232,-96.39895725344078,0.0,10.0,0.6323328747085385
"(1, 2)",1.0646648846043218,0.5524181072175862,-48.1134284406412,0.028482593973961797,0.0253801941136714,-10.89226586288646,30.0,3.0,0.15065525172046618
"(1, 3)",-0.3913668752448054,-0.009384511105270048,97.6021192137429,0.018631088283979726,0.027948164061975676,50.00822086172714,3.0,5.0,0.9046226638870961
"(1, 4)",1.874077983946695,1.8650041543986067,-0.48417566535728646,0.08167916741612924,0.045557855019992426,-44.22340914925134,2.0,24.0,0.5467002330392187
"(1, 5)",3.5363146039430533,1.075158320264955,-69.59664394490991,0.09675507278734448,0.05020738645079207,-48.10878127171522,12.0,7.0,0.8601513102436141
